id_no,binomial,presence,origin,shape_Area
42641,Abditomys latidens,1,1,0.043217635
42641,Abditomys latidens,1,1,0.02332597
17879,Abeomelomys sevia,1,1,0.019702861
17879,Abeomelomys sevia,1,1,0.708536079
17879,Abeomelomys sevia,1,1,0.062724687
16,Abrawayaomys ruschii,1,1,0.718289588
42656,Abrocoma bennettii,1,1,5.219857304
18,Abrocoma boliviensis,1,1,0.005520198
136334,Abrocoma budini,1,1,0.037534848
42657,Abrocoma cinerea,1,1,38.57774533
136367,Abrocoma famatina,1,1,0.30602546
136525,Abrocoma shistacea,1,1,0.068105535
136302,Abrocoma uspallata,1,1,0.001376575
136546,Abrocoma vaccarum,1,1,0.003577213
4803,Abrothrix andinus,1,1,53.85411678
734,Abrothrix hershkovitzi,1,1,0.038741072
735,Abrothrix illuteus,1,1,0.11564935
735,Abrothrix illuteus,1,1,3.164563995
735,Abrothrix illuteus,1,1,0.021052215
4804,Abrothrix jelskii,1,1,42.21693058
740,Abrothrix lanosus,1,1,3.177256389
740,Abrothrix lanosus,1,1,2.25444327
743,Abrothrix longipilis,1,1,79.67078
745,Abrothrix markhami,1,1,0.7546025
751,Abrothrix olivaceus,1,1,119.3489404
754,Abrothrix sanborni,1,1,2.405627484
137,Acerodon celebensis,1,1,0.01462723
137,Acerodon celebensis,1,1,0.053674485
137,Acerodon celebensis,1,1,0.019548645
137,Acerodon celebensis,1,1,13.77261397
137,Acerodon celebensis,1,1,0.006105155
137,Acerodon celebensis,1,1,0.046804085
137,Acerodon celebensis,1,1,0.00792614
137,Acerodon celebensis,1,1,0.366435315
137,Acerodon celebensis,1,1,0.003542635
137,Acerodon celebensis,1,1,0.00936776
137,Acerodon celebensis,1,1,0.045252415
137,Acerodon celebensis,1,1,0.096459185
137,Acerodon celebensis,1,1,0.001177555
138,Acerodon humilis,1,1,0.068617615
138,Acerodon humilis,1,1,0.007071
139,Acerodon jubatus,1,1,2.186656165
139,Acerodon jubatus,1,1,0.05373877
139,Acerodon jubatus,1,1,0.82082711
139,Acerodon jubatus,1,1,0.068227045
139,Acerodon jubatus,1,1,0.888104885
139,Acerodon jubatus,1,1,0.00085276
139,Acerodon jubatus,1,1,1.922963485
139,Acerodon jubatus,1,1,0.07534918
139,Acerodon jubatus,1,1,0.041823985
139,Acerodon jubatus,1,1,1.989359605
139,Acerodon jubatus,1,1,0.58246238
139,Acerodon jubatus,1,1,0.002447505
139,Acerodon jubatus,1,1,0.30997529
139,Acerodon jubatus,1,1,1.27517544
139,Acerodon jubatus,1,1,0.008420655
139,Acerodon jubatus,1,1,0.07048872
139,Acerodon jubatus,1,1,0.366740215
139,Acerodon jubatus,1,1,0.309494195
139,Acerodon jubatus,1,1,0.837640875
139,Acerodon jubatus,1,1,0.101933385
139,Acerodon jubatus,1,1,0.0589699
140,Acerodon leucotis,1,1,0.946766225
140,Acerodon leucotis,1,1,0.078368355
140,Acerodon leucotis,1,1,0.026083345
142,Acerodon mackloti,1,1,1.177835005
142,Acerodon mackloti,1,1,0.17469731
142,Acerodon mackloti,1,1,0.02708438
142,Acerodon mackloti,1,1,2.352194825
142,Acerodon mackloti,1,1,0.37807209
142,Acerodon mackloti,1,1,0.88189768
142,Acerodon mackloti,1,1,1.144690295
219,Acinonyx jubatus,1,1,0.238403234
219,Acinonyx jubatus,1,1,0.700057665
219,Acinonyx jubatus,1,1,0.304872384
219,Acinonyx jubatus,1,1,0.768213494
219,Acinonyx jubatus,1,1,0.78930512
219,Acinonyx jubatus,1,1,2.097576023
219,Acinonyx jubatus,1,1,2.101322838
219,Acinonyx jubatus,1,1,19.71134023
219,Acinonyx jubatus,1,1,67.41587394
219,Acinonyx jubatus,1,1,17.00992879
219,Acinonyx jubatus,1,1,0.015095545
219,Acinonyx jubatus,1,1,0.022608829
219,Acinonyx jubatus,1,1,0.07369068
219,Acinonyx jubatus,1,1,0.564563775
219,Acinonyx jubatus,1,1,0.639144859
219,Acinonyx jubatus,1,1,1.862790279
219,Acinonyx jubatus,1,1,1.938201672
219,Acinonyx jubatus,1,1,0.125197104
219,Acinonyx jubatus,1,1,2.039634443
219,Acinonyx jubatus,1,1,37.68948205
219,Acinonyx jubatus,1,1,0.20509405
219,Acinonyx jubatus,1,1,3.552443442
219,Acinonyx jubatus,1,1,40.40080398
219,Acinonyx jubatus,1,1,0.265776802
219,Acinonyx jubatus,1,1,2.204051765
219,Acinonyx jubatus,1,1,1.200171948
219,Acinonyx jubatus,1,1,4.43511277
219,Acinonyx jubatus,1,1,0.027282289
219,Acinonyx jubatus,1,1,0.120676225
219,Acinonyx jubatus,1,1,0.694753684
219,Acinonyx jubatus,1,1,0.561196422
219,Acinonyx jubatus,1,1,9.245850313
219,Acinonyx jubatus,1,1,1.958119347
219,Acinonyx jubatus,1,1,1.661778771
219,Acinonyx jubatus,1,1,2.522215697
219,Acinonyx jubatus,1,1,0.002669566
219,Acinonyx jubatus,1,1,0.591173079
219,Acinonyx jubatus,1,1,12.0160206
219,Acinonyx jubatus,1,1,0.310315323
219,Acinonyx jubatus,1,1,15.31540393
219,Acinonyx jubatus,1,1,0.251949583
219,Acinonyx jubatus,1,1,0.672559315
219,Acinonyx jubatus,1,1,1.028927733
219,Acinonyx jubatus,1,1,0.370611776
44936,Acomys airensis,1,1,156.2333516
263,Acomys cahirinus,1,1,275.57118
263,Acomys cahirinus,1,1,26.98567955
263,Acomys cahirinus,1,1,56.5601973
264,Acomys cilicicus,1,1,0.001771405
265,Acomys cineraceus,1,1,0.55437053
265,Acomys cineraceus,1,1,6.579486128
265,Acomys cineraceus,1,1,75.69724044
265,Acomys cineraceus,1,1,3.949694745
136471,Acomys dimidiatus,1,1,0.541530775
136471,Acomys dimidiatus,1,1,120.5828874
136471,Acomys dimidiatus,1,1,16.18470759
266,Acomys ignitus,1,1,8.561375735
44938,Acomys johannis,1,1,33.01588113
44938,Acomys johannis,1,1,0.911793595
44938,Acomys johannis,1,1,1.45284774
267,Acomys kempi,1,1,46.32145565
268,Acomys louisae,1,1,56.35100121
269,Acomys minous,1,1,0.826290065
270,Acomys mullah,1,1,13.28094212
272,Acomys percivali,1,1,18.14495631
273,Acomys russatus,1,1,3.52590707
273,Acomys russatus,1,1,58.31533176
44939,Acomys seurati,1,1,26.59222149
274,Acomys spinosissimus,1,1,131.1677944
275,Acomys subspinosus,1,1,6.961384025
276,Acomys wilsoni,1,1,111.7444529
278,Aconaemys fuscus,1,1,5.197273384
136331,Aconaemys porteri,1,1,3.162604924
279,Aconaemys sagei,1,1,1.071888794
40584,Acrobates pygmaeus,1,1,0.024889349
40584,Acrobates pygmaeus,1,1,111.3249634
40584,Acrobates pygmaeus,1,1,0.150780466
512,Addax nasomaculatus,1,2,0.070058505
512,Addax nasomaculatus,1,2,0.01646814
512,Addax nasomaculatus,1,2,0.050210695
512,Addax nasomaculatus,1,1,0.260649415
512,Addax nasomaculatus,1,1,1.9321009
512,Addax nasomaculatus,1,1,0.61874876
15595,Aegialomys galapagoensis,1,1,0.001873185
15616,Aegialomys xanthaeolus,1,1,21.26762151
548,Aepeomys lugens,1,1,0.77963293
136484,Aepeomys reigi,1,1,0.45514853
550,Aepyceros melampus,1,1,4.874789725
550,Aepyceros melampus,1,1,287.8336227
40558,Aepyprymnus rufescens,1,1,50.44559232
555,Aeretes melanopterus,1,1,5.313336722
555,Aeretes melanopterus,1,1,0.066302867
556,Aeromys tephromelas,1,1,0.02358854
556,Aeromys tephromelas,1,1,3.355819635
556,Aeromys tephromelas,1,1,2.186365285
556,Aeromys tephromelas,1,1,13.55430667
556,Aeromys tephromelas,1,1,2.614144055
556,Aeromys tephromelas,1,1,7.762986945
557,Aeromys thomasi,1,1,36.29518953
136541,Aethalops aequalis,1,1,2.839941727
565,Aethalops alecto,1,1,9.727776304
565,Aethalops alecto,1,1,9.631579272
565,Aethalops alecto,1,1,0.01666991
565,Aethalops alecto,1,1,17.89487408
565,Aethalops alecto,1,1,0.37807209
565,Aethalops alecto,1,1,0.04497516
565,Aethalops alecto,1,1,17.45372067
565,Aethalops alecto,1,1,0.446393865
568,Aethomys bocagei,1,1,20.87213069
569,Aethomys chrysophilus,1,1,314.5125643
569,Aethomys chrysophilus,1,1,2.70683827
570,Aethomys granti,1,1,12.61155431
571,Aethomys hindei,1,1,202.5039182
44990,Aethomys ineptus,1,1,39.91685311
572,Aethomys kaiseri,1,1,138.9525374
573,Aethomys namaquensis,1,1,297.6823008
574,Aethomys nyikae,1,1,61.00360052
567,Aethomys silindensis,1,1,1.646397275
575,Aethomys stannarius,1,1,14.03551556
576,Aethomys thomasi,1,1,22.62676522
712,Ailuropoda melanoleuca,1,1,0.02826229
712,Ailuropoda melanoleuca,1,1,0.00535029
712,Ailuropoda melanoleuca,1,1,0.02713065
712,Ailuropoda melanoleuca,1,1,0.00232322
712,Ailuropoda melanoleuca,1,1,0.33744644
712,Ailuropoda melanoleuca,1,1,0.021268685
712,Ailuropoda melanoleuca,1,1,0.01783199
712,Ailuropoda melanoleuca,1,1,0.018615325
712,Ailuropoda melanoleuca,1,1,0.019966165
712,Ailuropoda melanoleuca,1,1,0.0342951
712,Ailuropoda melanoleuca,1,1,0.009680305
712,Ailuropoda melanoleuca,1,1,0.199562755
712,Ailuropoda melanoleuca,1,1,0.1184247
712,Ailuropoda melanoleuca,1,1,0.031712055
712,Ailuropoda melanoleuca,1,1,0.11012589
712,Ailuropoda melanoleuca,1,1,0.00860409
