id_no,binomial,presence,origin,shape_Area
42641,Abditomys latidens,1,1,0.043217635
17879,Abeomelomys sevia,1,1,0.019702861
16,Abrawayaomys ruschii,1,1,0.718289588
42656,Abrocoma bennettii,1,1,5.219857304
18,Abrocoma boliviensis,1,1,0.005520198
136334,Abrocoma budini,1,1,0.037534848
42657,Abrocoma cinerea,1,1,38.57774533
136367,Abrocoma famatina,1,1,0.30602546
136525,Abrocoma shistacea,1,1,0.068105535
136302,Abrocoma uspallata,1,1,0.001376575
136546,Abrocoma vaccarum,1,1,0.003577213
4803,Abrothrix andinus,1,1,53.85411678
734,Abrothrix hershkovitzi,1,1,0.038741072
735,Abrothrix illuteus,1,1,0.11564935
4804,Abrothrix jelskii,1,1,42.21693058
740,Abrothrix lanosus,1,1,3.177256389
743,Abrothrix longipilis,1,1,79.67078
745,Abrothrix markhami,1,1,0.7546025
751,Abrothrix olivaceus,1,1,119.3489404
754,Abrothrix sanborni,1,1,2.405627484
137,Acerodon celebensis,1,1,0.01462723
138,Acerodon humilis,1,1,0.068617615
139,Acerodon jubatus,1,1,2.186656165
140,Acerodon leucotis,1,1,0.946766225
142,Acerodon mackloti,1,1,1.177835005
219,Acinonyx jubatus,1,1,0.238403234
44936,Acomys airensis,1,1,156.2333516
263,Acomys cahirinus,1,1,275.57118
264,Acomys cilicicus,1,1,0.001771405
265,Acomys cineraceus,1,1,0.55437053
136471,Acomys dimidiatus,1,1,0.541530775
266,Acomys ignitus,1,1,8.561375735
44938,Acomys johannis,1,1,33.01588113
267,Acomys kempi,1,1,46.32145565
268,Acomys louisae,1,1,56.35100121
269,Acomys minous,1,1,0.826290065
270,Acomys mullah,1,1,13.28094212
272,Acomys percivali,1,1,18.14495631
273,Acomys russatus,1,1,3.52590707
44939,Acomys seurati,1,1,26.59222149
274,Acomys spinosissimus,1,1,131.1677944
275,Acomys subspinosus,1,1,6.961384025
276,Acomys wilsoni,1,1,111.7444529
278,Aconaemys fuscus,1,1,5.197273384
136331,Aconaemys porteri,1,1,3.162604924
279,Aconaemys sagei,1,1,1.071888794
40584,Acrobates pygmaeus,1,1,0.024889349
512,Addax nasomaculatus,1,2,0.070058505
15595,Aegialomys galapagoensis,1,1,0.001873185
15616,Aegialomys xanthaeolus,1,1,21.26762151
548,Aepeomys lugens,1,1,0.77963293
136484,Aepeomys reigi,1,1,0.45514853
550,Aepyceros melampus,1,1,4.874789725
40558,Aepyprymnus rufescens,1,1,50.44559232
555,Aeretes melanopterus,1,1,5.313336722
556,Aeromys tephromelas,1,1,0.02358854
557,Aeromys thomasi,1,1,36.29518953
136541,Aethalops aequalis,1,1,2.839941727
565,Aethalops alecto,1,1,9.727776304
568,Aethomys bocagei,1,1,20.87213069
569,Aethomys chrysophilus,1,1,314.5125643
570,Aethomys granti,1,1,12.61155431
571,Aethomys hindei,1,1,202.5039182
44990,Aethomys ineptus,1,1,39.91685311
572,Aethomys kaiseri,1,1,138.9525374
573,Aethomys namaquensis,1,1,297.6823008
574,Aethomys nyikae,1,1,61.00360052
567,Aethomys silindensis,1,1,1.646397275
575,Aethomys stannarius,1,1,14.03551556
576,Aethomys thomasi,1,1,22.62676522
712,Ailuropoda melanoleuca,1,1,0.02826229
136218,Ailurops melanotis,1,1,0.00707392
40637,Ailurops ursinus,1,1,7.55E-05
714,Ailurus fulgens,1,1,31.27247456
723,Akodon aerosus,1,1,3.637183614
724,Akodon affinis,1,1,2.02887293
725,Akodon albiventer,1,1,34.6909046
136432,Akodon aliquantulus,1,1,0.043714024
726,Akodon azarae,1,1,9.24E-05
727,Akodon bogotensis,1,1,0.857336915
728,Akodon boliviensis,1,1,18.51100338
729,Akodon budini,1,1,1.750883545
730,Akodon cursor,1,1,70.51178574
731,Akodon dayi,1,1,24.39786046
732,Akodon dolores,1,1,5.226355187
733,Akodon fumeus,1,1,12.84350351
736,Akodon iniscatus,1,1,0.000141755
737,Akodon juninensis,1,1,0.00396198
739,Akodon kofordi,1,1,0.04187554
741,Akodon latebricola,1,1,0.487042065
136729,Akodon leucolimnaeus,1,1,0.013451275
742,Akodon lindberghi,1,1,0.333861534
753,Akodon lutescens,1,1,15.44185105
746,Akodon mimus,1,1,4.852972521
747,Akodon molinae,1,1,0.0001804
748,Akodon mollis,1,1,21.7062066
136197,Akodon montensis,1,1,0.000193335
136260,Akodon mystax,1,1,0.004297245
749,Akodon neocenus,1,1,3.735865431
136408,Akodon oenos,1,1,0.090375215
752,Akodon orophilus,1,1,2.77495738
136483,Akodon paranaensis,1,1,0.01298619
136676,Akodon pervalens,1,1,2.526444595
136753,Akodon philipmyersi,1,1,0.19334437
136693,Akodon reigi,1,1,6.338774302
755,Akodon sanctipaulensis,1,1,0.06754461
756,Akodon serrensis,1,1,24.60891365
757,Akodon siberiae,1,1,2.733114131
758,Akodon simulator,1,1,14.05988504
759,Akodon spegazzinii,1,1,5.137009955
760,Akodon subfuscus,1,1,14.37452778
761,Akodon surdus,1,1,1.31901439
762,Akodon sylvanus,1,1,0.09990357
763,Akodon toba,1,1,39.12167315
764,Akodon torques,1,1,5.545744561
766,Akodon varius,1,1,20.96911587
811,Alcelaphus buselaphus,1,1,0.4777919
41782,Alces alces,1,1,1252.249116
818,Alces americanus,1,1,43.33274164
843,Alionycteris paucidentata,1,1,0.415565844
851,Allactaga balikunica,1,1,26.03261006
852,Allactaga bullata,1,1,173.6177283
853,Allactaga elater,1,1,345.0850441
854,Allactaga euphratica,1,1,71.01133015
855,Allactaga firouzi,1,1,0.019046207
856,Allactaga hotsoni,1,1,46.46526079
857,Allactaga major,1,1,526.9785609
858,Allactaga severtzovi,1,1,4.653505704
859,Allactaga sibirica,1,1,620.0317154
850,Allactaga tetradactyla,1,1,9.08E-05
860,Allactaga vinogradovi,1,1,4.71786222
136326,Allactaga williamsi,1,1,66.51947927
861,Allactodipus bobrinskii,1,1,0.597329057
865,Allenopithecus nigroviridis,1,1,35.769899
868,Allocebus trichotis,1,1,3.626084693
42640,Allocricetulus curtatus,1,1,1.499400448
875,Allocricetulus eversmanni,1,1,224.3481443
136486,Alouatta arctoidea,1,1,30.25765916
39957,Alouatta belzebul,1,1,0.177572955
41545,Alouatta caraya,1,1,261.8868504
43912,Alouatta discolor,1,1,30.73433042
39916,Alouatta guariba,1,1,95.1871843
922,Alouatta juara,1,1,190.639252
40642,Alouatta macconnelli,1,1,143.5831094
136332,Alouatta nigerrima,1,1,18.2842685
39960,Alouatta palliata,1,1,19.38717939
914,Alouatta pigra,1,1,20.49425719
136787,Alouatta puruensis,1,1,85.85874526
41546,Alouatta sara,1,1,28.61669484
918,Alouatta ululata,1,1,8.103923435
948,Alticola albicaudus,1,1,0.646939185
949,Alticola argentatus,1,1,6.818607125
950,Alticola barakshin,1,1,0.275731221
951,Alticola lemminus,1,1,22.6679762
952,Alticola macrotis,1,1,0.790967518
953,Alticola montosa,1,1,1.872501355
136648,Alticola olchonensis,1,1,0.069665101
954,Alticola roylei,1,1,3.645815689
955,Alticola semicanus,1,1,79.78364116
956,Alticola stoliczkanus,1,1,225.3210772
958,Alticola strelzowi,1,1,54.28953945
959,Alticola tuvinicus,1,1,0.418384044
62006,Amblysomus corriae,1,1,4.935034761
41316,Amblysomus hottentotus,1,1,19.94471634
62007,Amblysomus marleyi,1,1,0.1277936
62008,Amblysomus robustus,1,1,0.028112454
62009,Amblysomus septentrionalis,1,1,2.960977813
1137,Ametrida centurio,1,1,0.0352658
1140,Ammodillus imbellis,1,1,12.60952242
1141,Ammodorcas clarkei,1,1,2.064477
42399,Ammospermophilus harrisii,1,1,25.86144153
42451,Ammospermophilus interpres,1,1,29.08556889
42452,Ammospermophilus leucurus,1,1,100.7264918
1149,Ammospermophilus nelsoni,1,1,0.001579765
1151,Ammotragus lervia,1,1,0.123279765
1154,Amorphochilus schnablii,1,1,14.81005074
136723,Amphinectomys savamis,1,1,0.080792005
39593,Anathana ellioti,1,1,116.6725009
1264,Andalgalomys olrogi,1,1,5.37597326
1265,Andalgalomys pearsoni,1,1,12.04781472
1271,Andinomys edax,1,1,19.89174515
1307,Anisomys imitator,1,1,0.84244409
44857,Anomalurus beecrofti,1,1,0.15781041
1550,Anomalurus derbianus,1,1,0.15781041
1551,Anomalurus pelii,1,1,19.84860233
1553,Anomalurus pusillus,1,1,32.88165851
1559,Anonymomys mindorensis,1,1,0.049553985
1564,Anotomys leander,1,1,0.56786398
