id_no,binomial,code,Shape_Area,eco_code
17596,Plecotus auritus,LC,8.498916,PA0409
41785,Cervus elaphus,LC,2.417688,PA0409
41785,Cervus elaphus,LC,0.055886,PA0409
41785,Cervus elaphus,LC,0.046612,PA0409
41785,Cervus elaphus,LC,0.165912,PA0409
41785,Cervus elaphus,LC,3.833642,PA0409
41481,Talpa europaea,LC,0.000008,PA0409
41481,Talpa europaea,LC,0.05156,PA0409
41481,Talpa europaea,LC,0.04747,PA0409
41481,Talpa europaea,LC,0.076477,PA0409
41481,Talpa europaea,LC,0.003306,PA0409
41481,Talpa europaea,LC,0.083471,PA0409
41481,Talpa europaea,LC,0.012428,PA0409
19517,Rhinolophus ferrumequinum,LC,3.190347,PA0409
14135,Myotis nattereri,LC,8.498916,PA0409
14135,Myotis nattereri,LC,0.074357,PA0409
19353,Rattus norvegicus,LC,8.498983,PA0409
29673,Meles meles,LC,8.499766,PA0409
17316,Pipistrellus nathusii,LC,3.806704,PA0409
29652,Crocidura russula,LC,0.000117,PA0409
14134,Myotis mystacinus,LC,8.498916,PA0409
29667,Sorex minutus,LC,8.498983,PA0409
20025,Sciurus vulgaris,LC,10.610531,PA0409
20025,Sciurus vulgaris,LC,8.498916,PA0409
20025,Sciurus vulgaris,LC,0.000039,PA0409
20025,Sciurus vulgaris,LC,0.002035,PA0409
20025,Sciurus vulgaris,LC,0.000364,PA0409
20025,Sciurus vulgaris,LC,0.000309,PA0409
20025,Sciurus vulgaris,LC,0.000001,PA0409
20025,Sciurus vulgaris,LC,0.00181,PA0409
20025,Sciurus vulgaris,LC,0.002331,PA0409
20025,Sciurus vulgaris,LC,0.003038,PA0409
20025,Sciurus vulgaris,LC,0.000068,PA0409
20025,Sciurus vulgaris,LC,0.0003,PA0409
20025,Sciurus vulgaris,LC,0.000129,PA0409
20025,Sciurus vulgaris,LC,0.000449,PA0409
20025,Sciurus vulgaris,LC,0.000802,PA0409
20025,Sciurus vulgaris,LC,0.000044,PA0409
20025,Sciurus vulgaris,LC,0.003344,PA0409
20025,Sciurus vulgaris,LC,0.002123,PA0409
20025,Sciurus vulgaris,LC,0.000729,PA0409
20025,Sciurus vulgaris,LC,0.000007,PA0409
20025,Sciurus vulgaris,LC,0.000604,PA0409
20025,Sciurus vulgaris,LC,0.000559,PA0409
20025,Sciurus vulgaris,LC,0.000002,PA0409
20025,Sciurus vulgaris,LC,0.00093,PA0409
13426,Microtus agrestis,LC,0.082329,PA0409
13426,Microtus agrestis,LC,0.07583,PA0409
13426,Microtus agrestis,LC,0.012194,PA0409
13426,Microtus agrestis,LC,0.072941,PA0409
13426,Microtus agrestis,LC,0.047291,PA0409
2149,Arvicola amphibius,LC,0.012194,PA0409
2149,Arvicola amphibius,LC,0.082329,PA0409
2149,Arvicola amphibius,LC,0.047291,PA0409
14123,Myotis bechsteinii,NT,1.669829,PA0409
4973,Myodes glareolus,LC,3.260926,PA0409
12848,Martes martes,LC,8.1635,PA0409
12848,Martes martes,LC,1.394096,PA0409
12848,Martes martes,LC,8.499766,PA0409
41658,Mustela putorius,LC,5.361984,PA0409
41658,Mustela putorius,LC,0.261634,PA0409
41658,Mustela putorius,LC,0.689156,PA0409
11791,Lepus timidus,LC,0.051562,PA0409
11791,Lepus timidus,LC,0.074347,PA0409
11791,Lepus timidus,LC,8.499773,PA0409
