eco_code,area_km2
AA0101,2099
AA0102,7496
AA0103,2810
AA0104,8586
AA0105,171230
AA0106,26745
AA0107,16450
AA0108,2407
AA0109,14
AA0110,1608
AA0111,34916
AA0112,12081
AA0113,14523
AA0114,42
AA0115,134636
AA0116,23184
AA0117,32596
AA0118,19276
AA0119,35700
AA0120,77034
AA0121,99493
AA0122,122338
AA0123,115810
AA0124,75472
AA0125,4180
AA0126,13156
AA0127,21851
AA0128,77060
AA0201,39281
AA0202,4408
AA0203,10721
AA0204,33382
AA0401,806
AA0402,221786
AA0403,11054
AA0404,14597
AA0405,84500
AA0406,29939
AA0407,1695
AA0408,13216
AA0409,272353
AA0410,11714
AA0411,18730
AA0412,18237
AA0413,31318
AA0414,5287
AA0701,157509
AA0702,341561
AA0703,115896
AA0704,358465
AA0705,128067
AA0706,346656
AA0707,459496
AA0708,26618
AA0709,224881
AA0801,53594
AA0802,253515
AA0803,321999
AA1001,11999
AA1002,15503
AA1003,40006
AA1101,878
AA1201,137255
AA1202,115461
AA1203,60898
AA1204,10443
AA1205,15214
AA1206,23779
AA1207,197880
AA1208,27518
AA1209,168704
AA1210,46026
AA1301,90288
AA1302,281051
AA1303,155524
AA1304,820767
AA1305,423734
AA1306,195003
AA1307,179313
AA1308,583394
AA1309,376487
AA1310,459616
AA1401,26708
AN1101,1155863
AN1102,2131856
AN1103,8513
AN1104,8179
AT0101,103404
AT0102,188821
AT0103,37879
AT0104,412882
AT0105,2057
AT0106,20629
AT0107,51840
AT0108,65199
AT0109,23556
AT0110,92315
AT0111,188895
AT0112,247734
AT0113,310
AT0114,30924
AT0115,3061
AT0116,17779
AT0117,111760
AT0118,198972
AT0119,30146
AT0120,4932
AT0121,1141
AT0122,14343
AT0123,67043
AT0124,531067
AT0125,112151
AT0126,432190
AT0127,1032
AT0128,146463
AT0129,128060
AT0130,204226
AT0201,4548
AT0202,151564
AT0203,38085
AT0701,657515
AT0702,133028
AT0703,93
AT0704,1179319
AT0705,913702
AT0706,482013
AT0707,670796
AT0708,7809
AT0709,334545
AT0710,7479
AT0711,324482
AT0712,705006
AT0713,3042451
AT0714,17948
AT0715,1049301
AT0716,226770
AT0717,222541
AT0718,567187
AT0719,406913
AT0720,130
AT0721,165042
AT0722,1631860
AT0723,411615
AT0724,33890
AT0725,471874
AT0726,263554
AT0801,25485
AT0802,69
AT0803,167
AT0901,2626
AT0902,7208
