MSW3_ID,MSWFamilyLatin,Scientific,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Source,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,ForStrat-Comment,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Source,Activity-Certainty,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel
1,Tachyglossidae,Tachyglossus aculeatus,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,3025,Ref_117,1
2,Tachyglossidae,Zaglossus attenboroughi,100,0,0,0,0,0,0,0,0,0,Ref_65,ABC,G,A,,1,0,0,Ref_1,ABC,8532.39,"Ref_2, Ref_3",0
3,Tachyglossidae,Zaglossus bartoni,100,0,0,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,7180,Ref_131,1
4,Tachyglossidae,Zaglossus bruijni,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10139.5,Ref_117,1
5,Ornithorhynchidae,Ornithorhynchus anatinus,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1484.25,Ref_117,1
6,Didelphidae,Caluromys philander,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,229.25,Ref_117,1
7,Didelphidae,Caluromys derbianus,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,297,Ref_117,1
8,Didelphidae,Caluromys lanatus,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,325,Ref_117,1
9,Didelphidae,Caluromysiops irrupta,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,250,Ref_117,1
10,Didelphidae,Glironia venusta,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,114,Ref_117,1
11,Didelphidae,Chironectes minimus,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,946,Ref_117,1
12,Didelphidae,Didelphis aurita,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1163.99,Ref_117,1
13,Didelphidae,Didelphis imperfecta,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1260.04,"Ref_2, Ref_3",0
