TaxonID,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TaxonomicNote,FillCode,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,DataSource
3,RODENTIA,ABROCOMIDAE,Abrocoma,bennettii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
4,RODENTIA,ABROCOMIDAE,Abrocoma,boliviensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
5,RODENTIA,ABROCOMIDAE,Abrocoma,budini,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
6,RODENTIA,ABROCOMIDAE,Abrocoma,cinerea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,Herbivore,0,0,0,0,0,IUCN
7,RODENTIA,ABROCOMIDAE,Abrocoma,famatina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
8,RODENTIA,ABROCOMIDAE,Abrocoma,shistacea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
9,RODENTIA,ABROCOMIDAE,Abrocoma,uspallata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,Herbivore,0,0,0,0,0,IUCN
10,RODENTIA,ABROCOMIDAE,Abrocoma,vaccarum,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,Nowak
12,RODENTIA,ABROCOMIDAE,Cuscomys,ashaninka,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
13,RODENTIA,ABROCOMIDAE,Cuscomys,oblativa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
16,DIPROTODONTIA,ACROBATIDAE,Acrobates,pygmaeus,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,,0,Omnivore,0,1,0,0,0,Nowak
18,DIPROTODONTIA,ACROBATIDAE,Distoechurus,pennatus,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,,0,Omnivore,0,1,1,0,0,Nowak
21,CARNIVORA,AILURIDAE,Ailurus,fulgens,3,3,3,3,0,0,3,1,1,1,0,1,1,0,1,0,,0,Herbivore,0,0,1,1,1,Nowak
