"","binomial_syn"
"1","Abrocoma uspallata"
"2","Aepeomys reigi"
"3","Aethomys stannarius"
"4","Akodon philipmyersi"
"5","Alouatta discolor"
"6","Alouatta juara"
"7","Alouatta puruensis"
"8","Alticola albicaudus"
"9","Alticola barakshin"
"10","Alticola lemminus"
"11","Alticola macrotis"
"12","Alticola tuvinicus"
"13","Amphinectomys savamis"
"14","Anoura fistulata"
"15","Anoura luismanueli"
"16","Antechinus subtropicus"
"17","Aotus jorgehernandezi"
"18","Apodemus hyrcanicus"
"19","Apomys camiguinensis"
"20","Apomys gracilirostris"
"21","Arabitragus jayakari"
"22","Arielulus aureocollaris"
"23","Arielulus torquatus"
"24","Artibeus rosenbergii"
"25","Avahi betsileo"
"26","Avahi cleesei"
"27","Avahi meridionalis"
"28","Avahi mooreorum"
"29","Avahi peyrierasi"
"30","Avahi ramanantsoavanai"
"31","Avahi unicolor"
"32","Batomys russatus"
"33","Bdeogale omnivora"
"34","Bibimys labiosus"
"35","Blanfordimys bucharensis"
"36","Bradypus pygmaeus"
"37","Brucepattersonius albinasus"
"38","Brucepattersonius griserufescens"
"39","Brucepattersonius guarani"
"40","Brucepattersonius igniventris"
"41","Brucepattersonius misionensis"
"42","Brucepattersonius paradisus"
"43","Brucepattersonius soricinus"
"44","Bullimus gamay"
"45","Bunomys prolatus"
"46","Cacajao hosomi"
"47","Calcochloris tytonis"
"48","Callibella humilis"
"49","Callicebus aureipalatii"
"50","Callicebus bernhardi"
"51","Callicebus caquetensis"
"52","Callicebus stephennashi"
"53","Calomys fecundus"
"54","Calomys tocantinsi"
"55","Calomyscus tsolovi"
"56","Caracal aurata"
"57","Carollia manu"
"58","Carollia sowelli"
"59","Caryomys eva"
"60","Cavia intermedia"
"61","Cebuella pygmaea"
"62","Cebus cay"
"63","Cebus flavius"
"64","Cebus macrocephalus"
"65","Cebus robustus"
"66","Cerradomys andersoni"
"67","Cervus albirostris"
"68","Chacodelphys formosa"
"69","Chaerephon jobimena"
"70","Chaetodipus goldmani"
"71","Cheirogaleus minusculus"
"72","Chibchanomys orcesi"
"73","Chodsigoa caovansunga"
"74","Chodsigoa hypsibia"
"75","Chodsigoa lamula"
"76","Chodsigoa parva"
"77","Chodsigoa sodalis"
"78","Choeropsis liberiensis"
"79","Chrotomys sibuyanensis"
"80","Coendou quichua"
"81","Coendou sanctamartae"
"82","Congosorex phillipsorum"
"83","Congosorex verheyeni"
"84","Cricetulus tibetanus"
"85","Crocidura andamanensis"
"86","Crocidura ansellorum"
"87","Crocidura arispa"
"88","Crocidura armenica"
"89","Crocidura bottegoides"
"90","Crocidura caliginea"
"91","Crocidura cinderella"
"92","Crocidura congobelgica"
"93","Crocidura crenata"
"94","Crocidura desperata"
"95","Crocidura elongata"
