"","binomial_syn"
"1","Avahi mooreorum"
"2","Callicebus caquetensis"
"3","Catopuma badia"
"4","Catopuma temminckii"
"5","Cervus albirostris"
"6","Chaerephon aloysiisabaudiae"
"7","Chaerephon ansorgei"
"8","Chaerephon bemmeleni"
"9","Chaerephon bivittatus"
"10","Chaerephon chapini"
"11","Chaerephon jobensis"
"12","Chaerephon jobimena"
"13","Chaerephon johorensis"
"14","Chaerephon major"
"15","Chaerephon nigeriae"
"16","Chaerephon plicatus"
"17","Chaerephon pumilus"
"18","Chaerephon russatus"
"19","Chaerephon solomonis"
"20","Dermanura rosenbergi"
"21","Elephantulus revoilii"
"22","Felis bieti"
"23","Fukomys anselli"
"24","Fukomys bocagei"
"25","Fukomys damarensis"
"26","Fukomys darlingi"
"27","Fukomys foxi"
"28","Fukomys kafuensis"
"29","Fukomys mechowi"
"30","Fukomys ochraceocinereus"
"31","Fukomys zechi"
"32","Huetia leucorhina"
"33","Isothrix barbarabrownae"
"34","Lepilemur hollandorum"
"35","Lepilemur scottorum"
"36","Lepilemur tymerlachsoni"
"37","Macroscelides flavicaudatus"
"38","Macroscelides micus"
"39","Marmosa alstoni"
"40","Marmosa constantiae"
"41","Marmosa demerarae"
"42","Marmosa paraguayanus"
"43","Marmosa phaea"
"44","Marmosa regina"
"45","Mico rondoni"
"46","Microcebus arnholdi"
"47","Microcebus danfossi"
"48","Microcebus gerpi"
"49","Microcebus macarthurii"
"50","Microcebus margotmarshae"
"51","Microcebus marohita"
"52","Microgale grandidieri"
"53","Monodelphis handleyi"
"54","Monodelphis umbristriatus"
"55","Mops brachypterus"
"56","Mops condylurus"
"57","Mops congicus"
"58","Mops demonstrator"
"59","Mops leucostigma"
"60","Mops midas"
"61","Mops mops"
"62","Mops nanulus"
"63","Mops niangarae"
"64","Mops niveiventer"
"65","Mops sarasinorum"
"66","Mops spurrelli"
"67","Mops thersites"
"68","Mops trevori"
"69","Neoromicia brunnea"
"70","Neoromicia capensis"
"71","Neoromicia flavescens"
"72","Neoromicia guineensis"
"73","Neoromicia malagasyensis"
"74","Neoromicia matroka"
"75","Neoromicia melckorum"
"76","Neoromicia nana"
"77","Neoromicia rendalli"
"78","Neoromicia somalica"
"79","Neoromicia tenuipinnis"
"80","Neoromicia zuluensis"
"81","Phataginus tetradactyla"
"82","Philander olrogi"
"83","Pseudois nayaur ssp. schaeferi"
"84","Rhinopithecus strykeri"
"85","Tarsius tumpara"
"86","Tarsius wallacei"
"87","Thylamys citellus"
"88","Thylamys fenestrae"
"89","Thylamys pulchellus"
