"","binomial_syn"
"1","Akodon philipmyersi"
"2","Alouatta discolor"
"3","Alouatta juara"
"4","Alouatta puruensis"
"5","Anoura fistulata"
"6","Aotus jorgehernandezi"
"7","Apomys camiguinensis"
"8","Arabitragus jayakari"
"9","Artibeus rosenbergii"
"10","Avahi betsileo"
"11","Avahi cleesei"
"12","Avahi meridionalis"
"13","Avahi mooreorum"
"14","Avahi peyrierasi"
"15","Avahi ramanantsoavanai"
"16","Bdeogale omnivora"
"17","Cacajao hosomi"
"18","Callibella humilis"
"19","Callicebus aureipalatii"
"20","Callicebus caquetensis"
"21","Calomys fecundus"
"22","Caracal aurata"
"23","Carollia manu"
"24","Cebuella pygmaea"
"25","Cebus cay"
"26","Cebus flavius"
"27","Cebus macrocephalus"
"28","Cebus robustus"
"29","Cerradomys andersoni"
"30","Cervus albirostris"
"31","Chacodelphys formosa"
"32","Chaerephon jobimena"
"33","Choeropsis liberiensis"
"34","Chrotomys sibuyanensis"
"35","Coendou quichua"
"36","Coendou sanctamartae"
"37","Congosorex phillipsorum"
"38","Cricetulus tibetanus"
"39","Crocidura hikmiya"
"40","Crocidura pachyura"
"41","Cryptonanus agricolai"
"42","Cryptonanus chacoensis"
"43","Cryptonanus guahybae"
"44","Cryptonanus unduaviensis"
"45","Dactylonax palpator"
"46","Dasycercus blythi"
"47","Dendrolagus notatus"
"48","Dermanura rosenbergi"
"49","Echimys vieirai"
"50","Elephantulus pilicaudus"
"51","Elephantulus revoilii"
"52","Eliurus danieli"
"53","Emballonura tiavato"
"54","Epomophorus anselli"
"55","Equus africanus"
"56","Eudorcas albonotata"
"57","Eulemur rufifrons"
"58","Fukomys anselli"
"59","Fukomys bocagei"
"60","Fukomys damarensis"
"61","Fukomys darlingi"
"62","Fukomys foxi"
"63","Fukomys kafuensis"
"64","Fukomys mechowi"
"65","Fukomys ochraceocinereus"
"66","Fukomys zechi"
"67","Funisciurus duchaillui"
"68","Galagoides cocos"
"69","Galagoides demidovii"
"70","Galagoides nyasae"
"71","Galagoides zanzibaricus"
"72","Galea monasteriensis"
"73","Galeopterus variegatus"
"74","Gerbilliscus gambiana"
"75","Gerbillus rupicola"
"76","Habromys schmidlyi"
"77","Handleyomys alfaroi"
"78","Handleyomys chapmani"
"79","Handleyomys melanotis"
"80","Handleyomys rhabdops"
"81","Handleyomys rostratus"
"82","Handleyomys saturatior"
"83","Harpiola isodon"
"84","Herpestes flavescens"
"85","Herpestes ochraceus"
"86","Herpestes pulverulentus"
"87","Herpestes sanguineus"
"88","Hipposideros boeadii"
"89","Hipposideros khaokhouayensis"
"90","Hoolock hoolock"
"91","Huetia leucorhina"
"92","Hydromys ziegleri"
"93","Hylaeamys acritus"
"94","Hylaeamys oniscus"
"95","Isothrix barbarabrownae"
"96","Kerivoula kachinensis"
"97","Kerivoula krauensis"
"98","Kerivoula titania"
"99","Laonastes aenigmamus"
