"","id_no","binomial","presence","origin","shape_Area","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"1",42641,"Abditomys latidens",1,1,0.043217635,"Mammalia","Rodentia","Muridae","Abditomys","latidens",-999,"Luzon Broad-toothed Rat",-999,-999,-999,268.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.8,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",17879,"Abeomelomys sevia",1,1,0.019702861,"Mammalia","Rodentia","Muridae","Abeomelomys","sevia",-999,"Papuan Abeomelomys",-999,1,-999,57.89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.8645,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",16,"Abrawayaomys ruschii",1,1,0.718289588,"Mammalia","Rodentia","Cricetidae","Abrawayaomys","ruschii",-999,"Ruschi's Rat",-999,-999,-999,62.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",42656,"Abrocoma bennettii",1,1,5.219857304,"Mammalia","Rodentia","Abrocomidae","Abrocoma","bennettii",-999,"Bennett's Chinchilla Rat",-999,3,2,265.5,2.333333333,-999,-999,-999,-999,-999,-999,-999,2.3,-999,-999,-999,-999,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,"Abrocoma boliviensis",1,1,0.005520198,"Mammalia","Rodentia","Abrocomidae","Abrocoma","boliviensis",-999,"Bolivian Chinchilla Rat",-999,-999,-999,158,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",136334,"Abrocoma budini",1,1,0.037534848,"Mammalia","Rodentia","Abrocomidae","Abrocoma","budini",-999,"Budin's Chinchilla Rat",-999,1.995,-999,221.82,1.083333333,112.26904,-999,12.755,-999,-999,-999,-999,1.083333333,-999,-999,-999,-999,-999,-999,-999,-999,20.1,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",42657,"Abrocoma cinerea",1,1,38.57774533,"Mammalia","Rodentia","Abrocomidae","Abrocoma","cinerea",-999,"Ashy Chinchilla Rat",-999,1.995,-999,221.82,1.083333333,112.26904,-999,12.755,-999,-999,-999,-999,1.083333333,-999,-999,-999,-999,-999,-999,-999,-999,20.1,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",136367,"Abrocoma famatina",1,1,0.30602546,"Mammalia","Rodentia","Abrocomidae","Abrocoma","famatina",-999,"Famatina Chinchilla Rat",-999,1.995,-999,221.82,1.083333333,112.26904,-999,12.755,-999,-999,-999,-999,1.083333333,-999,-999,-999,-999,-999,-999,-999,-999,20.1,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",136525,"Abrocoma shistacea",1,1,0.068105535,"Mammalia","Rodentia","Abrocomidae","Abrocoma","shistacea",-999,"Sierra del Tontal Chinchilla Rat",-999,1.995,-999,221.82,1.083333333,112.26904,-999,12.755,-999,-999,-999,-999,1.083333333,-999,-999,-999,-999,-999,-999,-999,-999,20.1,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",136302,"Abrocoma uspallata",1,1,0.001376575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
