"","id_no","binomial","presence","origin","shape_Area","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"1",42641,"Abditomys latidens",1,1,0.043217635,2216,"Muridae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_3","D2",269,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",17879,"Abeomelomys sevia",1,1,0.019702861,2217,"Muridae",10,0,0,0,0,0,10,0,20,60,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",54.88,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",16,"Abrawayaomys ruschii",1,1,0.718289588,1658,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",63,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",42656,"Abrocoma bennettii",1,1,5.219857304,3094,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",250.5,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,"Abrocoma boliviensis",1,1,0.005520198,3087,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",158,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",136334,"Abrocoma budini",1,1,0.037534848,3088,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",214.69,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",42657,"Abrocoma cinerea",1,1,38.57774533,3089,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",250,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",136367,"Abrocoma famatina",1,1,0.30602546,3090,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",214.69,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",136525,"Abrocoma shistacea",1,1,0.068105535,3091,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",214.69,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",136302,"Abrocoma uspallata",1,1,0.001376575,3092,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",214.69,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",136546,"Abrocoma vaccarum",1,1,0.003577213,3093,"Abrocomidae",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1","G","A","",1,0,0,"Ref_1","ABC",214.69,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4803,"Abrothrix andinus",1,1,53.85411678,1659,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",24.91,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",734,"Abrothrix hershkovitzi",1,1,0.038741072,1666,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",32.42,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",735,"Abrothrix illuteus",1,1,0.11564935,1665,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",47.79,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4804,"Abrothrix jelskii",1,1,42.21693058,1664,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",34.5,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",740,"Abrothrix lanosus",1,1,3.177256389,1663,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",27.83,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",743,"Abrothrix longipilis",1,1,79.67078,1662,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",38.86,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",745,"Abrothrix markhami",1,1,0.7546025,1661,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",29.03,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",751,"Abrothrix olivaceus",1,1,119.3489404,1660,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",24.52,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",754,"Abrothrix sanborni",1,1,2.405627484,1667,"Cricetidae",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",24.7,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",137,"Acerodon celebensis",1,1,0.01462723,3667,"Pteropodidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",390,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",138,"Acerodon humilis",1,1,0.068617615,3668,"Pteropodidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",462.47,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
