"","id_no","binomial","presence","origin","shape_Area","TaxonID","Order","Family","Genus","Species","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","TaxonomicNote","FillCode","TrophicLevel","MammalEater","Insectivore","Frugivore","Granivore","Folivore","DataSource","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"1",42641,"Abditomys latidens",1,1,0.043217635,3324,"RODENTIA","MURIDAE","Abditomys","latidens",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Herbivore",0,0,0,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",17879,"Abeomelomys sevia",1,1,0.019702861,3326,"RODENTIA","MURIDAE","Abeomelomys","sevia",1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,"Pogonomelomys",3,"Omnivore",0,1,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",16,"Abrawayaomys ruschii",1,1,0.718289588,840,"RODENTIA","CRICETIDAE","Abrawayaomys","ruschii",1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,"",3,"Omnivore",0,1,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",42656,"Abrocoma bennettii",1,1,5.219857304,3,"RODENTIA","ABROCOMIDAE","Abrocoma","bennettii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",1,"Herbivore",0,0,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,"Abrocoma boliviensis",1,1,0.005520198,4,"RODENTIA","ABROCOMIDAE","Abrocoma","boliviensis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",1,"Herbivore",0,0,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",136334,"Abrocoma budini",1,1,0.037534848,5,"RODENTIA","ABROCOMIDAE","Abrocoma","budini",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",1,"Herbivore",0,0,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",42657,"Abrocoma cinerea",1,1,38.57774533,6,"RODENTIA","ABROCOMIDAE","Abrocoma","cinerea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Herbivore",0,0,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",136367,"Abrocoma famatina",1,1,0.30602546,7,"RODENTIA","ABROCOMIDAE","Abrocoma","famatina",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",1,"Herbivore",0,0,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",136525,"Abrocoma shistacea",1,1,0.068105535,8,"RODENTIA","ABROCOMIDAE","Abrocoma","shistacea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",1,"Herbivore",0,0,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",136302,"Abrocoma uspallata",1,1,0.001376575,9,"RODENTIA","ABROCOMIDAE","Abrocoma","uspallata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Herbivore",0,0,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
