id_no,binomial,1-1_ActivityCycle,5-1_AdultBodyMass_g,6-1_DietBreadth,12-1_HabitatBreadth,15-1_LitterSize,17-1_MaxLongevity_m,12-2_Terrestriality,6-2_TrophicLevel
1892,Apodemus flavicollis,-999,31.6,-999,-999,4.94,48,-999,-999
1904,Apodemus sylvaticus,2,21.9,4,2,5.16,52.8,2,2
2149,Arvicola amphibius,-999,120,-999,-999,4.76,60,-999,-999
2553,Barbastella barbastellus,-999,8.31,1,1,1.73,252,2,3
42395,Capreolus capreolus,2,22502.01,-999,1,1.79,204,1,-999
41785,Cervus elaphus,2,240867.13,5,1,1.09,321.6,1,1
29652,Crocidura russula,-999,9.89,2,1,4.04,38.4,1,3
7911,Eptesicus serotinus,-999,23.09,1,1,1.5,72,2,3
29650,Erinaceus europaeus,2,777.95,8,1,4.64,168,1,2
60354712,Felis silvestris,2,4573.08,1,1,3.59,336,1,3
11481,Lemmus lemmus,-999,67.62,-999,-999,5.1,24,-999,-999
11791,Lepus timidus,-999,3105.42,-999,-999,3.16,-999,-999,-999
12419,Lutra lutra,1,8868.69,1,2,2.01,264,1,3
12848,Martes martes,1,1299.99,1,1,3.49,204,1,3
29673,Meles meles,2,11884.03,1,1,3.11,194.4,1,3
13373,Micromys minutus,-999,6.99,-999,-999,4.92,60,-999,-999
13426,Microtus agrestis,-999,35.87,-999,-999,4.65,39.6,-999,-999
13992,Muscardinus avellanarius,2,29.19,8,1,4.3,72,2,2
29674,Mustela erminea,2,284.5,1,1,6.74,85.23,1,3
14021,Mustela nivalis,2,78.45,1,1,5.07,120,1,3
41658,Mustela putorius,1,975.55,1,1,8.48,168,1,3
4973,Myodes glareolus,-999,20.73,5,2,4.31,58.8,2,2
14123,Myotis bechsteinii,-999,9.47,1,1,1,252,2,3
14125,Myotis brandtii,-999,5.3,-999,1,-999,-999,2,-999
14128,Myotis daubentonii,-999,7.63,2,1,1.21,336,2,3
14134,Myotis mystacinus,-999,-999,-999,-999,-999,-999,-999,-999
14135,Myotis nattereri,-999,7.25,1,1,0.99,180,2,3
29658,Neomys fodiens,2,15.26,3,3,6.39,36,1,2
14919,Nyctalus leisleri,-999,12.47,-999,1,1.73,-999,2,-999
14920,Nyctalus noctula,-999,28.48,1,1,1.33,144,2,3
17316,Pipistrellus nathusii,-999,7.44,-999,1,1.73,96,2,-999
17317,Pipistrellus pipistrellus,-999,5.3,1,1,1.37,200.4,2,3
136649,Pipistrellus pygmaeus,-999,-999,-999,-999,-999,-999,-999,-999
17596,Plecotus auritus,-999,8.19,1,1,1.22,360,2,3
17597,Plecotus austriacus,-999,6.75,-999,1,-999,180,2,-999
19353,Rattus norvegicus,-999,282.89,1,2,8.99,-999,1,1
19517,Rhinolophus ferrumequinum,-999,22.59,1,1,0.98,360,2,3
19518,Rhinolophus hipposideros,-999,4.57,1,1,1,252,2,3
20025,Sciurus vulgaris,3,333,5,2,4.5,144,2,2
29661,Sorex araneus,2,9.18,5,2,6.56,24,1,2
29667,Sorex minutus,2,4.32,5,1,6.04,24,1,2
41481,Talpa europaea,2,87.53,1,2,3.89,84,1,3
22947,Vespertilio murinus,-999,15.42,1,1,1.5,144,2,3
23062,Vulpes vulpes,1,4820.36,1,1,4.59,180,1,3
